merchant_sku,severity,issue_type,field,evidence,recommended_fix,confidence
ARD-1369,P2,awkward_arabic_repeated_itr,short_description,عطر عطر الدر المكنون سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
ARD-1480,P2,awkward_arabic_repeated_itr,short_description,عطر عطر عود ليل ملكي من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
ARD-1858,P2,longevity_claim,short_description,عطر يارا من لطافة بحجم 100 مل للنساء، برائحة فاكهية فانيليا أنثوية شهيرة بثبات عالٍ واستخدام يومي.,editorial rewrite under separate fix authorization,medium
ARD-2436,P2,awkward_arabic_repeated_itr,short_description,عطر عطر سقراط من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
ARD-2583,P2,awkward_arabic_repeated_itr,short_description,عطر عطر نجدية تربيوت من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
ARD-3117,P2,awkward_arabic_repeated_itr,short_description,عطر عطر انسام سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
ARD-3347,P2,awkward_arabic_repeated_itr,short_description,عطر عطر عود نجدية من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Oud ضمن تشكيلة موثّقة.,remove duplicated عطر prefix; keep one product noun,high
ARD-3711,P2,awkward_arabic_repeated_itr,short_description,عطر عطر قائد الفرسان انلمتد ابيض 90 مل من Lattafa بحجم 90 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
ARD-3714,P2,awkward_arabic_repeated_itr,short_description,عطر عطر ليام 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
ARD-4214,P2,awkward_arabic_repeated_itr,short_description,عطر عطر عفيف 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Afeef ضمن تشكيلة موثّقة.,remove duplicated عطر prefix; keep one product noun,high
ARD-4255,P2,awkward_arabic_repeated_itr,short_description,عطر عطر حياتي فلورنس 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
ARD-4256,P2,awkward_arabic_repeated_itr,short_description,عطر عطر انا الابيض كورال 60 مل من Lattafa بحجم 60 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
ARD-4286,P2,awkward_arabic_repeated_itr,short_description,عطر عطر مشربية 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Mashrabya ضمن تشكيلة موثّقة ويتميز بطابع Mashrabya ضمن تشكيلة,remove duplicated عطر prefix; keep one product noun,high
ARD-4336,P2,awkward_arabic_repeated_itr,short_description,عطر عطر خمرة دخان 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
ARD-4637,P2,awkward_arabic_repeated_itr,short_description,عطر عطر اسد بوربون من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
ARD-4660,P2,awkward_arabic_repeated_itr,short_description,عطر عطر ليان 75 مل من Lattafa بحجم 75 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
ARD-4680,P2,awkward_arabic_repeated_itr,short_description,عطر عطر شهد كبير 150 مل من Lattafa بحجم 150 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر prefix; keep one product noun,high
