merchant_sku,short_description,description,content_status,identity_source_type,identity_source_url,scent_family,top_notes,heart_notes,base_notes,official_gender
ARD-1318,عطر الشموخ من لطافة بحجم 30 مل ضمن مجموعة ثمين، برائحة شرقية حارة وخشبية دافئة، مثالي للسفر والاستخدام اليومي بحجم ميني عملي.,"عائلة عطرية: Sweet Spicy / Oriental | المقدمة: Spicy floral | القلب: Spicy | القاعدة: Balsamic vanilla, amber, woody",SECONDARY_DETAILED,trusted_retailer,https://www.nahdionline.com/en-ae/lattafa-shamoukh-eau-de-parfum-unisex-30-ml/pdp/103563877,Sweet Spicy / Oriental,Spicy floral,Spicy,"Balsamic vanilla, amber, woody",unisex
ARD-1319,عطر ثراء من لطافة بحجم 30 مل من مجموعة ثمين، بتركيبة زهرية دافئة مع لمسات خشبية، حجم ميني مناسب للسفر والاستخدام اليومي.,"عائلة عطرية: Floral Woody | المقدمة: Allspice, purple freesia | القلب: Heliotrope, jasmine, hibiscus, Bulgarian rose | القاعدة: Himalayan cedar, warm skin accord, sandalwood, incense",SECONDARY_DETAILED,trusted_retailer,https://www.nahdionline.com/en-ae/lattafa-thara-eau-de-parfum-for-unisex-30-ml/pdp/103563797,Floral Woody,"Allspice, purple freesia","Heliotrope, jasmine, hibiscus, Bulgarian rose","Himalayan cedar, warm skin accord, sandalwood, incense",unisex
ARD-1320,عطر معالي من لطافة بحجم 30 مل ضمن مجموعة ثمين، بافتتاحية حمضية وقلب زهري ناعم، حجم ميني عملي للسفر والاستخدام اليومي.,"عائلة عطرية: Citrus Floral | المقدمة: Fresh citrus | القلب: Magnolia, honeysuckle, raspberry | القاعدة: Cashmere wood, amber, musk",SECONDARY_DETAILED,trusted_retailer,https://www.nahdionline.com/en-ae/lattafa-maali-eau-de-parfum-unisex-30-ml/pdp/103564124,Citrus Floral,Fresh citrus,"Magnolia, honeysuckle, raspberry","Cashmere wood, amber, musk",unisex
ARD-1369,عطر عطر الدر المكنون سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/al-dur-al-maknoon/,,,,,unisex
ARD-1430,عطر أمير العود إنتنس عود من لطافة بحجم 100 مل، بطابع عودي دخاني ثابت.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/ameer-al-oudh-intense/,,,,,unisex
ARD-1480,عطر عطر عود ليل ملكي من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/oud-lail-maleki/,,,,,unisex
ARD-1858,عطر يارا من لطافة بحجم 100 مل للنساء، برائحة فاكهية فانيليا أنثوية شهيرة بثبات عالٍ واستخدام يومي.,"عائلة عطرية: Amber Vanilla | المقدمة: Tangerine, heliotrope, orchid | القلب: Tropical notes, gourmand | القاعدة: Vanilla, sandalwood, musk",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/yara/,Amber Vanilla,"Tangerine, heliotrope, orchid","Tropical notes, gourmand","Vanilla, sandalwood, musk",women
ARD-2126,عطر بديع العود أميثست من لطافة بحجم 100 مل، برائحة خط بديع العود الرسمية.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/badee-al-oud-amethyst/,,,,,unisex
ARD-2423,عطر قائد الشباب من لطافة بحجم 100 مل للرجال، برائحة كهرمانية جلدية خشبية مع لمسة عود دافئة وثابتة.,"عائلة عطرية: Amber / Leather Woody | المقدمة: Osmanthus, ylang-ylang | القلب: Leather, cedar | القاعدة: Oud, light amber",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/qaaed-al-shabaab/,Amber / Leather Woody,"Osmanthus, ylang-ylang","Leather, cedar","Oud, light amber",men
ARD-2436,عطر عطر سقراط من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/suqraat/,,,,,men
ARD-2437,عطر حياتي الملكي من لطافة بحجم 100 مل، بافتتاحية حمضية وقلب من الخوخ والزعفران والجلد، وقاعدة فانيليا ومسك عنبري.,"عائلة عطرية: Amber | المقدمة: Grapefruit, bergamot, cassis | القلب: Peach, saffron, leather | القاعدة: Vetiver, vanilla, amber musk",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/hayaati-al-maleky/,Amber,"Grapefruit, bergamot, cassis","Peach, saffron, leather","Vetiver, vanilla, amber musk",men
ARD-2471,عطر عودين من لطافة بحجم 100 مل، بمزيج مشرق من البرتقال والزعفران مع كراميل وعنبر وفانيليا دافئة.,"عائلة عطرية: Sweet Oriental Woody | المقدمة: Orange, saffron | القلب: Caramel, dry amber | القاعدة: Tonka, vanilla",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/oudain/,Sweet Oriental Woody,"Orange, saffron","Caramel, dry amber","Tonka, vanilla",unisex
ARD-2493,عطر سمبلي عود من لطافة بحجم 100 مل للجنسين، بتركيبة عودية دافئة مع لمسات زهرية وحارة ولمسة عنبرية ناعمة.,"عائلة عطرية: Woody Oud | المقدمة: Cardamom, pepper | القلب: Jasmine, praline, raspberry, rose | القاعدة: Oud, amber, moss, musk",SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/simply-oud/,Woody Oud,"Cardamom, pepper","Jasmine, praline, raspberry, rose","Oud, amber, moss, musk",unisex
ARD-2494,عطر سطور من لطافة بحجم 100 مل، برائحة فاكهية شرقية غنية مع لمسات دافئة من الفانيليا والأخشاب الناعمة.,"عائلة عطرية: Fruity Oriental | المقدمة: Peach, blood orange, cardamom | القلب: Brandy, rum, jasmine, davana | القاعدة: Amber, vanilla, cashmere wood, sandalwood, styrax, vetiver, patchouli, tonka, cistus",SECONDARY_DETAILED,trusted_retailer,https://balade-orientale.com/en/products/sutoor-100ml-lattafa-perfume,Fruity Oriental,"Peach, blood orange, cardamom","Brandy, rum, jasmine, davana","Amber, vanilla, cashmere wood, sandalwood, styrax, vetiver, patchouli, tonka, cistus",women
ARD-2511,عطر أنا الأبيض بودري من لطافة، إصدار بودري ناعم للجنسين بطابع مسكي أنيق.,عائلة عطرية: powdery musky,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/ana-abiyedh-poudree/,powdery musky,,,,unisex
ARD-2512,عطر حياتي الذهبي إكسير من لطافة بحجم 100 مل، بطابع دافئ أنيق.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/hayaati-gold-elixir/,,,,,unisex
