merchant_sku,field,current_value,proposed_value,severity,issue_type,local_asset_path,storage_path,approved_sha256,public_image_url,old_image_url,decision_status,production_apply_status,expected_safe_state
ARD-1369,short_description,عطر عطر الدر المكنون سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر الدر المكنون سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-1480,short_description,عطر عطر عود ليل ملكي من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر عود ليل ملكي من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-1858,short_description,عطر يارا من لطافة بحجم 100 مل للنساء، برائحة فاكهية فانيليا أنثوية شهيرة بثبات عالٍ واستخدام يومي.,عطر يارا من لطافة بحجم 100 مل للنساء، برائحة فاكهية وفانيليا بطابع أنثوي ناعم يناسب الاستخدام اليومي.,P2,remove unsupported ثبات عالٍ,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-2436,short_description,عطر عطر سقراط من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر سقراط من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-2511,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2511.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2511-3DB85A32.webp,P2,size_confirmation_60ml,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-2511.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2511-3DB85A32.webp,3DB85A32E124DB200154A9BADBAF2C8A7FEA526052812B820E28A66CD0210950,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2511-3DB85A32.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2511.webp,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-2511,sizes,100 مل,60 مل,P2,VERIFIED_60ML,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-2583,short_description,عطر عطر نجدية تربيوت من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر نجدية تربيوت من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-2793,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2793.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2793-2727DBE6.webp,P1,wrong_variant_image,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-2793.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2793-2727DBE6.webp,2727DBE666AA59F84799AD31114DE479A5140F5505272711030EA860830DB6C9,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2793-2727DBE6.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2793.webp,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-2797,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2797.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2797-82D65227.webp,P1,wrong_variant_image,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-2797.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2797-82D65227.webp,82D652273DA94ED0CEE4DB637BE6F429B02C2149A5723892F59B2C4EDEB97024,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2797-82D65227.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2797.webp,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-2932,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2932.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2932-EE63C035.webp,P2,promotional_overlay,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-2932.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2932-EE63C035.webp,EE63C03520FE4C16AA80DEB0D47122A540074D9B4D123CBC96B0E122741DD119,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-2932-EE63C035.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2932.webp,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-3117,short_description,عطر عطر انسام سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر انسام سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-3347,short_description,عطر عطر عود نجدية من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Oud ضمن تشكيلة موثّقة.,عطر عود نجدية من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Oud ضمن تشكيلة موثّقة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-3711,short_description,عطر عطر قائد الفرسان انلمتد ابيض 90 مل من Lattafa بحجم 90 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر قائد الفرسان انلمتد ابيض 90 مل من Lattafa بحجم 90 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-3714,short_description,عطر عطر ليام 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر ليام 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-4214,short_description,عطر عطر عفيف 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Afeef ضمن تشكيلة موثّقة.,عطر عفيف 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Afeef ضمن تشكيلة موثّقة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-4255,short_description,عطر عطر حياتي فلورنس 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر حياتي فلورنس 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-4256,short_description,عطر عطر انا الابيض كورال 60 مل من Lattafa بحجم 60 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر انا الابيض كورال 60 مل من Lattafa بحجم 60 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-4286,short_description,عطر عطر مشربية 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Mashrabya ضمن تشكيلة موثّقة ويتميز بطابع Mashrabya ضمن تشكيلة موثّقة.,عطر مشربية 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Mashrabya ضمن تشكيلة موثّقة.,P2,remove duplicated عطر and duplicated Mashrabya clause,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-4336,short_description,عطر عطر خمرة دخان 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر خمرة دخان 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-4564,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4564.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4564-120C9873.webp,P1,wrong_variant_image,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-4564.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4564-120C9873.webp,120C9873E53A41EBC70F3AE5E8EF23B33921289539356EF0A0B1E0A0924D0541,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4564-120C9873.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4564.webp,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-4637,short_description,عطر عطر اسد بوربون من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر اسد بوربون من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-4660,short_description,عطر عطر ليان 75 مل من Lattafa بحجم 75 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر ليان 75 مل من Lattafa بحجم 75 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-4680,short_description,عطر عطر شهد كبير 150 مل من Lattafa بحجم 150 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر شهد كبير 150 مل من Lattafa بحجم 150 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-4685,short_description,عطر عطر اسد الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Asad ضمن تشكيلة موثّقة.,عطر اسد الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Asad ضمن تشكيلة موثّقة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-4686,short_description,عطر عطر يارا الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر يارا الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-4752,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4752.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4752-E0CF56D2.webp,P1,wrong_variant_image,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-4752.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4752-E0CF56D2.webp,E0CF56D25300F722C198FD609F1482D1C956AB6893B091FBD44FB446632650F2,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4752-E0CF56D2.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4752.webp,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-4792,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4792.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4792-315545AD.webp,P1,wrong_variant_image,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-4792.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4792-315545AD.webp,315545ADCF0C8DDF57704E68A8527EBED0C41741988F72E21A6F9065EAD0B89B,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-4792-315545AD.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4792.webp,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-5036,short_description,عطر عطر ماهر هونور 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر ماهر هونور 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-5058,short_description,عطر عطر خمرة واحة 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Khamrah ضمن تشكيلة موثّقة.,عطر خمرة واحة 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Khamrah ضمن تشكيلة موثّقة.,P2,remove duplicated عطر,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-775,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-775.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-775-A662A1D1.webp,P1,wrong_brand_image,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-775.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-775-A662A1D1.webp,A662A1D1133ACF0BD35AE1A00D5B4FB423FE20E25CD303BD3C63AF33AB16337A,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-775-A662A1D1.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-775.webp,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-775,name,عطر مسك السلامه,عطر سلامة من أسداف 100 مل,P1,reidentify_salamah,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-775,brand,Lattafa,Asdaaf,P1,reidentify_salamah,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-775,category_slug,musk-oils-mukhammaria,perfumes,P1,reidentify_salamah,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-775,slug,عطر-مسك-السلامه-ard-775,عطر-سلامة-اسداف-100-مل-ard-775,P1,reidentify_salamah,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-775,short_description,زيت عطري / مسك عطر مسك السلامه من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر سلامة من أسداف بحجم 100 مل، أو دو بارفان للجنسين مناسب للاستخدام اليومي والمناسبات.,P1,reidentify_salamah,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-823,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-823.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-823-70874516.webp,P1,wrong_size_set_image,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-823.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-823-70874516.webp,708745168955D575C3F24C30799C5DB0D964B5227AEDB5C3956E21A795706160,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/remediation-20260804/ARD-823-70874516.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-823.webp,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-823,sizes,100 مل,50 مل,P1,correct_size_to_50ml_set,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
ARD-823,name,عطر شيخ الشيوخ,عطر شيخ الشيوخ 50 مل مع مزيل عرق,P1,correct_size_to_50ml_set,,,,,,READY_FOR_EXECUTION_REVIEW,NOT_AUTHORIZED,private/inactive/unpublished/stock=0; merchant draft; no public leakage
