merchant_sku,catalog_name_ar,official_product_name,verified_brand,verified_size,verified_variant,product_type,category_slug,identity_source_type,image_source_type,identity_source_url,identity_confidence,identity_status,catalog_identity_match_status,catalog_identity_match_notes,identity_notes,source_image_url,source_tier_rule
ARD-1318,30 مل الشموخ,Shamoukh (Thameen Collection),Lattafa,30 مل,Thameen Collection,Eau de Parfum,mini-travel-perfume,trusted_retailer,trusted_retailer,https://www.nahdionline.com/en-ae/lattafa-shamoukh-eau-de-parfum-unisex-30-ml/pdp/103563877,medium,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog '30 مل الشموخ' aligns with official 'Shamoukh (Thameen Collection)' via transliteration.,Matched to Lattafa Thameen Collection Shamoukh 30ml EDP; no lattafa.com product page found; retailer pack listing with Fakhar/Thara/Maali.,https://ecombe.nahdionline.com/media/catalog/product/1/0/103563877_a7b937cf11489f90d_97335.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-1319,30 مل ثراء,Thara (Thameen Collection),Lattafa,30 مل,Thameen Collection,Eau de Parfum,mini-travel-perfume,trusted_retailer,trusted_retailer,https://www.nahdionline.com/en-ae/lattafa-thara-eau-de-parfum-for-unisex-30-ml/pdp/103563797,medium,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog '30 مل ثراء' aligns with official 'Thara (Thameen Collection)' via transliteration.,Matched to Lattafa Thameen Collection Thara 30ml; retailer listing; catalog name ثراء maps to Thara.,https://ecombe.nahdionline.com/media/catalog/product/1/0/103563797_af4bcc337b29575d0_56583.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-1320,30 مل معالي,Maali (Thameen Collection),Lattafa,30 مل,Thameen Collection,Eau de Parfum,mini-travel-perfume,trusted_retailer,trusted_retailer,https://www.nahdionline.com/en-ae/lattafa-maali-eau-de-parfum-unisex-30-ml/pdp/103564124,medium,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog '30 مل معالي' aligns with official 'Maali (Thameen Collection)' via transliteration.,Matched to Lattafa Thameen Collection Maali 30ml; retailer listing; catalog معالي maps to Maali.,https://ecombe.nahdionline.com/media/catalog/product/1/0/103564124_a51876f12c36eb8f6_36869.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-1369,عطر الدر المكنون سلفر,Al Dur Al Maknoon Silver,Lattafa,100 مل,,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/al-dur-al-maknoon/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر الدر المكنون سلفر' aligns with official 'Al Dur Al Maknoon Silver' via transliteration.,Replacement for ARD-4158 (image_duplicate_conflict); unique direct image 1080x1080.,https://www.lattafa.my/cdn/perfumes/lattafa/al-dur-al-maknoon-silver-perfume-100ml-edp-lattafa-emirate/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-1430,عطر امير العود / انتنس عود,Ameer Al Oudh Intense Oud,Lattafa,100 مل,,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/ameer-al-oudh-intense/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر امير العود / انتنس عود' aligns with official 'Ameer Al Oudh Intense Oud' via transliteration.,image_size_or_format_mismatch: replaced Ameer Al Oudh Intense deo 200ml with Stage2 Intense Oud EDP matching existing image.,https://www.lattafa.my/cdn/perfumes/lattafa/ameer-al-oudh-intense-lattafa-perfume-unisex-oud-smoky-long-lasting-100ml-edp/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-1480,عطر عود ليل ملكي,Oud Lail Maleki,Lattafa,100 مل,,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/oud-lail-maleki/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر عود ليل ملكي' aligns with official 'Oud Lail Maleki' via transliteration.,Replacement for ARD-4553 (image_duplicate_conflict); unique direct image 1080x1080.,https://www.lattafa.my/cdn/perfumes/lattafa/oud-lail-maleki-by-lattafa-100ml-edp-malaysia/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-1858,عطر يارا,Yara,Lattafa,100 مل,,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/yara/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر يارا' aligns with official 'Yara' via transliteration.,,https://www.lattafa.my/cdn/perfumes/lattafa/yara-lattafa-100ml-edp-perfume-women-malaysia/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-2126,عطر بديع العود اميثست,Badee Al Oud Amethyst,Lattafa,100 مل,,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/badee-al-oud-amethyst/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر بديع العود اميثست' aligns with official 'Badee Al Oud Amethyst' via transliteration.,image_size_or_format_mismatch: replaced Amethyst deo 200ml with Stage2 Amethyst EDP matching existing 100ml EDP image.,https://www.lattafa.my/cdn/perfumes/lattafa/badee-al-oud-amethyst-lattafa-100ml-edp-unisex-perfume-malaysia/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-2423,عطر قائد الشباب 100 مل,Qaaed Al Shabaab,Lattafa,100 مل,,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/qaaed-al-shabaab/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر قائد الشباب 100 مل' aligns with official 'Qaaed Al Shabaab' via transliteration.,Official Lattafa Arabic product page; 100 ML men.,https://www.lattafa.my/cdn/perfumes/lattafa/qaaed-al-shabaab-lattafa-perfume-lelaki-amber-spicy-100ml-edp/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
ARD-2436,عطر سقراط,Suqraat,Lattafa,100 مل,,Eau de Parfum,perfumes,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/suqraat/,high,VERIFIED,ACCEPTED_TRANSLITERATION,Catalog 'عطر سقراط' aligns with official 'Suqraat' via transliteration.,Replacement for ARD-2667 (image_duplicate_conflict); unique direct image 1080x1080.,https://www.lattafa.my/cdn/perfumes/lattafa/suqraat-by-lattafa-100ml-edp-men-malaysia/large/image.jpg,"{'lattafa.com': 'official_manufacturer', 'www.lattafa.com': 'official_manufacturer', 'lattafa.my': 'official_distributor', 'www.lattafa.my': 'official_distributor', 'nahdionline.com': 'trusted_retailer', 'www.nahdionline.com': 'trusted_retailer', 'ecombe.nahdionline.com': 'trusted_retailer', 'dam.nahdionline.com': 'trusted_retailer', 'noon.com': 'trusted_retailer', 'www.noon.com': 'trusted_retailer', 'theislamshop.com': 'trusted_retailer', 'www.theislamshop.com': 'trusted_retailer', 'intenseoud.com': 'trusted_retailer', 'www.intenseoud.com': 'trusted_retailer', 'wholesale.intenseoud.com': 'trusted_retailer'}"
